"","Sample.name","Sex","Phase","Brood.date","Sample","Tank","File.name.ind.geno","MajorMinor"
"1","B2.GREY.7.12","B",2,"7.12","GREY","B2","Ind121","AA"
"2","B2.GREY.7.12","B",2,"7.12","GREY","B2","Ind121.1","AB"
"3","B2.GREY.7.12","B",2,"7.12","GREY","B2","Ind121.2","BB"
"4","B2.LIGHTBLUE.7.10","B",2,"7.10","LIGHTBLUE","B2","Ind133","AA"
"5","B2.LIGHTBLUE.7.10","B",2,"7.10","LIGHTBLUE","B2","Ind133.1","AB"
"6","B2.LIGHTBLUE.7.10","B",2,"7.10","LIGHTBLUE","B2","Ind133.2","BB"
"7","B2.ORANGE.7.10","B",2,"7.10","ORANGE","B2","Ind108","AA"
"8","B2.ORANGE.7.10","B",2,"7.10","ORANGE","B2","Ind108.1","AB"
"9","B2.ORANGE.7.10","B",2,"7.10","ORANGE","B2","Ind108.2","BB"
"10","B2.ORANGE.8.24","B",2,"8.24","ORANGE","B2","Ind122","AA"
"11","B2.ORANGE.8.24","B",2,"8.24","ORANGE","B2","Ind122.1","AB"
"12","B2.ORANGE.8.24","B",2,"8.24","ORANGE","B2","Ind122.2","BB"
"13","B4C.PINK.6.7","B",1,"6.7","PINK","B4C","Ind113","AA"
"14","B4C.PINK.6.7","B",1,"6.7","PINK","B4C","Ind113.1","AB"
"15","B4C.PINK.6.7","B",1,"6.7","PINK","B4C","Ind113.2","BB"
"16","B5A.BLUE.7.31","B",1,"7.31","BLUE","B5A","Ind112","AA"
"17","B5A.BLUE.7.31","B",1,"7.31","BLUE","B5A","Ind112.1","AB"
"18","B5A.BLUE.7.31","B",1,"7.31","BLUE","B5A","Ind112.2","BB"
"19","B5A.YELLOW.7.6","B",1,"7.6","YELLOW","B5A","Ind107","AA"
"20","B5A.YELLOW.7.6","B",1,"7.6","YELLOW","B5A","Ind107.1","AB"
"21","B5A.YELLOW.7.6","B",1,"7.6","YELLOW","B5A","Ind107.2","BB"
"22","B5B.BROWN.6.7","B",1,"6.7","BROWN","B5B","Ind101","AA"
"23","B5B.BROWN.6.7","B",1,"6.7","BROWN","B5B","Ind101.1","AB"
"24","B5B.BROWN.6.7","B",1,"6.7","BROWN","B5B","Ind101.2","BB"
"25","B5B.BROWN.7.31","B",1,"7.31","BROWN","B5B","Ind100","AA"
"26","B5B.BROWN.7.31","B",1,"7.31","BROWN","B5B","Ind100.1","AB"
"27","B5B.BROWN.7.31","B",1,"7.31","BROWN","B5B","Ind100.2","BB"
"28","BLACK_A.I5A","M",1,NA,"BLACK_A","I5A","Ind81","AA"
